Words,Label
valley carpeted blue poppies wide unbroken fields luminous morning skies mid-june rippled mile mile path followed still untrodden path must take,NT
nodded leaned toward seemed whisper lift heads look crowding swarms little azure fays half impudently wholly trustfully faces jeweled giants standing guard,NT
little breeze walked bent beneath soft tread brushed sweeping skirts unseen hastening presences,NT
vast prayer-rug sapphire silken poppies stretched gray feet mountain,NT
southern edge clustering summits row faded brown low hills knelt brown-robed withered weary old men backs bent faces hidden outstretched arms palms earth brows touching earth east immemorial attitude worship,NT
half expected rise watched man appeared one bowed rocky shoulders abruptly ever-startling suddenness strange light latitudes objects spring vision,NT
stood scanning camp arose beside laden pony head tibetan peasant,NT
first figure waved hand striding hill,NT
approached took stock,NT
young giant three good inches six feet vigorous head unruly clustering black hair clean-cut clean-shaven american face,NT
'm dick drake holding hand,NT
richard keen drake recently uncle engineers france,NT
name goodwin,NT
took hand shook warmly,NT
dr. walter,NT
goodwin,NT
goodwin botanist,NT
know,NT
exclaimed,NT
know,NT
father admired work greatly,NT
knew professor alvin drake,NT
nodded,NT
alvin drake son,NT
alvin knew died year started journey,NT
son wilderness,NT
wondering,NT
answered unspoken question,NT
short story,NT
war ended,NT
felt irresistible desire something different,NT
n't think anything different tibet always wanted go anyway,NT
went,NT
decided strike toward turkestan,NT
felt strong liking young giant,NT
doubt subconsciously feeling need companionship kind,NT
even wondered led way little camp whether would care join fortunes journeyings,NT
father work knew well although stalwart lad unlike one would expected alvin drake trifle dried precise wholly abstracted experiments beget still reflected heredity lord sometimes works mysterious ways wonders perform,NT
almost awe listened instruct chiu-ming wanted supper prepared gaze dwelt fondly chinese busy among pots pans,NT
talked little desultorily meal prepared fragments traveler news gossip habit journeyers come silent places,NT
ever speculation grew face made away chiu-ming artful concoctions,NT
drake sighed drawing pipe,NT
cook marvel cook,NT
get,NT
briefly told,NT
silence fell,NT
suddenly sun dipped behind flank stone giant guarding valley western gate whole vale swiftly darkened flood crystal-clear shadows poured,NT
prelude miracle unearthly beauty seen nowhere else earth sunset tibet,NT
turned expectant eyes west,NT
little cool breeze raced watching steeps messenger whispered nodding poppies sighed gone,NT
poppies still,NT
high overhead homing kite whistled mellowly,NT
signal sprang pale azure western sky row row cirrus cloudlets rank rank thrusting heads path setting sun,NT
changed mottled silver faint rose deepened crimson,NT
dragons sky drink blood sunset chiu-ming,NT
gigantic globe crystal dropped heavens blue turned swiftly clear glowing amber abruptly shifted luminous violet soft green light pulsed valley,NT
hills ensorcelled rocky walls seemed flatten,NT
glowed pressed forward gigantic slices palest emerald jade translucent illumined circlet little suns shining behind,NT
light faded robes deepest amethyst dropped around mountain mighty shoulders,NT
every snow glacier-crowned peak minaret pinnacle towering turret leaped forth confusion soft peacock flames host irised prismatic gleamings ordered chaos rainbows,NT
great small interlacing shifting ringed valley incredible glory god light touched eternal rocks bidden radiant souls stand forth,NT
darkening sky swept rosy pencil living light utterly strange pure beam whose coming never fails clutch throat beholder hand ecstasy ray tibetans name ting-pa. moment rosy finger pointed east arched divided slowly six shining rosy bands began creep downward toward eastern horizon nebulous pulsing splendor arose meet,NT
watched heard gasp drake,NT
echoed,NT
six beams swaying moving ever swifter motion side side ever-widening sweep hidden orb sprang swaying pendulum,NT
faster faster six high-flung beams swayed broke broke gigantic unseen hand reached snapped,NT
instant severed ends ribboned aimlessly bent turned darted earthward welter clustered summits north swiftly gone valley fell night,NT
good god,NT
whispered drake,NT
something reached broke rays drew threads,NT
struggled bewilderment,NT
never anything ended inadequately,NT
purposeful whispered,NT
deliberate,NT
something reached juggled rays broke drew willow withes,NT
devils dwell,NT
quavered chiu-ming,NT
magnetic phenomenon,NT
half angry touch panic,NT
light deflected passage magnetic field,NT
course,NT
certainly,NT
n't know,NT
drake tone doubtful indeed,NT
would take whale magnetic field done inconceivable,NT
harked back first idea,NT
damned deliberate repeated,NT
devils muttered frightened chinese,NT
drake gripped arm pointed north,NT
deeper blackness grown talking pool darkness mountain summits stood blade-sharp edges faintly luminous,NT
gigantic lance misty green fire darted blackness thrust point heart zenith following leaped sky host sparkling spears light blackness ebon hand brandishing thousand javelins tinseled flame,NT
aurora,NT
ought good one mused drake gaze intent,NT
notice big sun spot,NT
shook head,NT
biggest ever,NT
noticed first dawn morning,NT
little aurora lighter spot,NT
told look,NT
cried,NT
green lances fallen back,NT
blackness gathered together began pulse billows radiance spangled infinite darting swarms flashing corpuscles uncounted hosts dancing fireflies,NT
higher waves rolled phosphorescent green iridescent violet weird copperous yellows metallic saffrons shimmer glittering ash rose wavered split formed gigantic sparkling marching curtains splendor,NT
vast circle light sprang folds flickering rushing curtains,NT
misty first edges sharpened rested blazing glory northern sky pale ring cold flame,NT
aurora began churn heap revolve,NT
toward ring every side raced majestic folds drew together circled seethed around foam fire lip cauldron poured shining circle mouth fabled cavern old aeolus sits blowing forth breathing back winds sweep earth,NT
yes ring mouth aurora flew cascading columned stream earth,NT
swiftly mist swept heavens veiled incredible cataract,NT
magnetism,NT
muttered drake,NT
guess,NT
struck ting-pa broken seemed drawn rays,NT
purposeful drake,NT
devilish,NT
hit nerves metal claw,NT
purposeful deliberate,NT
intelligence behind,NT
intelligence,NT
drake intelligence break rays setting sun suck aurora,NT
n't know answered,NT
devils croaked chiu-ming,NT
devils defied buddha grown strong metal claw,NT
breathed drake,NT
far west sound first whisper wild rushing prolonged wailing crackling,NT
great light flashed mist glowed faded,NT
wailing vast rushing retreating whisper,NT
silence darkness dropped embraced valley blue poppies,NT
chapter ii sigil rocks dawn,NT
drake slept well,NT
youthful resiliency lay long awake uneasy,NT
hardly sunk troubled slumber dawn awakened,NT
breakfasted approached directly matter growing liking turning strong desire,NT
drake asked,NT
going,NT
laughed,NT
'm foot loose fancy free,NT
think ought somebody help watch cook,NT
might get away,NT
idea seemed appall,NT
fine,NT
exclaimed heartily thrust hand,NT
'm thinking striking range soon manasarowar lakes,NT
curious flora 'd study,NT
anywhere say suits answered,NT
clasped hands partnership soon way valley western gate united caravans stringing along behind,NT
mile mile trudged blue poppies discussing enigmas twilight night,NT
light day breath vague terror dissipated,NT
place mystery dread floor brilliant sunshine,NT
smiling sapphire floor rolled ever,NT
whispering little playful breezes flew slopes gossip moment nodding flowers,NT
flocks rose finches raced chattering overhead quarrel tiny willow warblers chi-u-teb-tok holding fief drooping graceful bowers bending little laughing stream past hour chuckled gurgled friendly water baby beside,NT
proven almost satisfaction beheld creation extraordinary atmospheric attributes highlands atmosphere unique make almost anything kind possible,NT
drake convinced,NT
know,NT
course understand superimposed layers warmer air might bent ray vortices higher levels might produced effect captured aurora,NT
admit possible,NT
'll even admit probable damn doc believe,NT
clearly feeling conscious force something knew exactly reason,NT
mid-afternoon,NT
spell valley gone leisurely,NT
western mount close mouth gorge must pass plain,NT
seem reach dusk drake reconciled spending another night peaceful vale,NT
plodding along deep thought startled exclamation,NT
staring point hundred yards right,NT
followed gaze,NT
towering cliffs scant half mile away,NT
distant time enormous fall rock,NT
disintegrating formed gently-curving breast sloped merge valley floor,NT
willow witch alder stunted birch poplar found roothold clothed crowding outposts thrusting forward wavering semicircle held back seemingly blue hordes showed melted meadows,NT
center breast beginning half way slopes stretching flowered fields colossal imprint,NT
gray brown stood green blue slope level rectangle thirty feet wide two hundred long heel faintly curved hither end claws four slender triangles radiating twenty-four points ten-rayed star,NT
irresistibly footprint thing whose tread leave print,NT
ran slope drake already well advance,NT
paused base triangles thing indeed footprint spreading claws sprang flat,NT
track fresh,NT
upper edges clipped bushes split trees white wood latter showing sliced stroke scimitar,NT
stepped mark,NT
level planed bent stared utter disbelief eyes beheld,NT
stone earth crushed compressed smooth microscopically grained adamantine complex matrix poppies still bearing traces coloring imbedded fossils,NT
cyclone grip straws thrust unbroken inch board force take delicate petals flower set inlay surface stone,NT
mind recollection wailings crashings night weird glow flashed mist arose hide chained aurora,NT
heard,NT
sounds made,NT
foot shin-je,NT
chiu-ming voice tremulous,NT
lord hell trodden,NT
translated drake benefit,NT
lord hell one foot,NT
asked dick politely,NT
bestrides mountains chiu-ming,NT
far side footprint,NT
shin-je strode mountains set foot,NT
interpreted,NT
drake cast calculating glance cliff top,NT
two thousand feet mused,NT
well shin-je built proportions makes right,NT
length thing would give two thousand foot leg,NT
yes straddle hill,NT
're surely serious,NT
asked consternation,NT
hell,NT
exclaimed crazy,NT
foot mark,NT
look mathematical nicety edges stamped die reminds die,NT
impossible power used press,NT
giant seal metal mountain hand,S
sigil seal,NT
asked,NT
purpose better ask devil force gotten together,NT
look except one place n't mark anywhere,NT
bushes trees poppies grass ought,NT
whoever whatever made get get away without leaving trace,NT
damned n't think chiu-ming explanation puts less strain credulity offer,NT
peered,NT
except mark slightest sign unusual abnormal,NT
mark enough,NT
'm pushing notch two getting gorge dark voicing thought,NT
i'm willing face anything human 'm keen pressed rock flower maiden book poems,NT
twilight drew valley pass,NT
traveled full mile along darkness forced make camp,NT
gorge narrow,NT
far walls hundred feet away quarrel neighborliness,NT
solidity immutability breathed confidence back,NT
found deep niche capable holding entire caravan filed ponies one perfectly willing thus spend night let air dawn would,NT
dined bread tea tired bone sought place rocky floor,NT
slept well waking twice chiu-ming groanings dreams evidently none pleasantest,NT
aurora neither knew cared,NT
slumber dreamless,NT
chapter iii ruth ventnor dawn streaming niche awakened,NT
covey partridges venturing close yielded three guns,NT
breakfasted well little later pushing cleft,NT
descent gradual continuous therefore surprised soon began come evidences semi-tropical vegetation,NT
giant rhododendrons tree ferns gave way occasional clumps stately kopek clumps hardier bamboos,NT
added snow cocks larder although habitat flying gorge peaks table-lands choice tidbit,NT
day marched night made camp sleep quickly overmastering,NT
hour dawn way,NT
brief stop made lunch pressed forward,NT
close two caught first sight ruins,NT
soaring verdure-clad walls canyon long steadily marching closer,NT
rims wide ribbon sky fantastically shored river shimmering dazzling every cove headland edged opalescent glimmering shining pearly beaches,NT
sinking sky stream's depths light kept lessening darkening imperceptibly luminous shadows ghostly beryl drifting veils pellucid aquamarine limpid mists glaucous chrysolite,NT
fainter crepuscular became light yet never losing crystalline quality,NT
high overhead river brook became thread,NT
abruptly vanished,NT
passed tunnel fern walled fern roofed garlanded tawny orchids gay carmine fungus golden moss,NT
stepped blaze sunlight,NT
lay wide green bowl held hands clustered hills shallow circular plastic still thumb god run round rim shaping,NT
around peaks crowded craning lofty heads peer,NT
mile diameter hollow gaze measured,NT
three openings one lay crack northeast slope another tunnel mouth come,NT
third lifted bowl creeping precipitous bare scarp western barrier straight north clinging ochreous rock vanished around far distant shoulder,NT
wide bulwarked road road spoke clearly tongue human hands cut mountain breast,NT
ancient road weary beyond belief beneath tread uncounted years,NT
hollow blind soul loneliness groped greet,NT
never felt loneliness lapped lip verdant bowl,NT
tangible poured reservoir misery,NT
pool despair half width valley away ruins began,NT
weirdly visible expression,NT
huddled two bent rows bottom,NT
crouched wide cluster cliffs,NT
cluster curving row ran along southern crest hollow,NT
flight shattered cyclopean steps lifted ledge crumbling fortress stood,NT
irresistibly ruins seem colossal hag flung prone lying listlessly helplessly barrier base,NT
huddled lower ranks legs cluster body upper row outflung arm neck stairway ancient fortress rounded two huge ragged apertures northern front aged bleached withered head staring watching,NT
looked drake spell bowl heavy face drawn,NT
chinaman tibetan murmuring terror written large,NT
hell joint,NT
drake turned shadow grin lightening distress face,NT
'd rather chance go back,NT
d'you say,NT
nodded curiosity mastering oppression,NT
stepped rim rifles alert,NT
close behind crowded two servants ponies,NT
vale shallow,NT
trod fragments olden approach green tunnel descent difficult,NT
beside path upreared huge broken blocks,NT
thought see faint tracings carvings suggestion gaping arrow-fanged dragon jaws outline scaled body hint enormous batlike wings,NT
reached first crumbling piles stretched valley center,NT
half fainting fell drake clutching support,NT
stream utter hopelessness racing swirling eddying around reaching hearts ghostly fingers dripping despair,NT
every shattered heap seemed pour rushing road torrent engulfing submerging drowning,NT
unseen yet tangible water sapped life every nerve,NT
weariness filled desire drop stones rolled away,NT
die,NT
felt drake's body quivering even mine knew drawing every reserve strength,NT
steady muttered,NT
steady tibetan shrieked fled ponies scrambling,NT
dimly remembered mine carried precious specimens surge anger passed beating back anguish,NT
heard sob chiu-ming drop,NT
drake stopped drew feet,NT
placed thrust arm,NT
swimmers heads bent pushed buffeting inexplicable invisible flood,NT
path rose force lessened vitality grew terrible desire yield swept away waned,NT
reached foot cyclopean stairs half struggled ledge watching fortress stood clutching stream shoaled swiftly shoal became safe dry land cheated unseen maelstrom swirled harmlessly beneath,NT
stood erect gasping breath swimmers fought utmost barely barely,NT
almost imperceptible movement side ruined portal,NT
darted girl,NT
rifle dropped hands,NT
straight sped toward,NT
ran recognized,NT
ruth ventnor,NT
flying figure reached threw soft arms around neck weeping relieved gladness shoulder,NT
ruth,NT
cried,NT
earth,NT
walter,NT
sobbed,NT
walter goodwin oh thank god,NT
thank god,NT
drew arms catching breath laughed shakily,NT
took swift stock,NT
save fear ruth known three years wide deep blue eyes seriousness sparkling wells mischief petite rounded tender fairest skin impudent little nose shining clusters intractable curls human sparkling sweet,NT
drake coughed insinuatingly,NT
introduced,NT
watched struggling dreadful pit,NT
shuddered,NT
see know whether friend enemy oh heart almost died pity walter breathed,NT
shook head,NT
martin see went,NT
watching road leads,NT
ran help,NT
mart watching,NT
asked,NT
watching,NT
hesitated oddly,NT
think 'd rather tell,NT
strange incredible,NT
led broken portal fortress,NT
gigantic even thought,NT
floor vast chamber entered strewn fragments fallen crackling stone-vaulted ceiling,NT
breaks light streamed level,NT
picked way among debris wide crumbling stairway crept ruth flitting ahead,NT
opposite one eye-like apertures,NT
black perched high pile blocks recognized long lean outline ventnor rifle hand gazing intently ancient road whose windings plain opening,NT
heard,NT
martin called ruth softly,NT
turned,NT
shaft light crevice gap's edge struck face flashing semidarkness corner crouched,NT
looked quiet gray eyes keen face,NT
goodwin,NT
shouted tumbling perch shaking shoulders,NT
way praying 're man 'd prayed,NT
get,NT
wandering mart answered,NT
lord,NT
i'm sure glad see,NT
way come,NT
asked keenly,NT
threw hand toward south,NT
hollow,NT
asked incredulously,NT
hell place get drake broke,NT
cost ponies ammunition,NT
richard drake,NT
son old alvin knew mart,NT
knew well cried ventnor seizing dick hand,NT
wanted go kamchatka get confounded sort stuff one devilish experiments,NT
well,NT
dead replied dick soberly,NT
oh,NT
ventnor,NT
oh 'm sorry,NT
great man,NT
briefly acquainted wanderings encounter drake,NT
place considered thoughtfully,NT
damned know,NT
thought maybe gas sort,NT
n't 'd hole two days ago,NT
'm pretty sure must gas,NT
must much less morning made attempt get n't,NT
hardly listening,NT
ventnor certainly advanced theory unusual symptoms occurred,NT
hollow might indeed pocket gas flowed mines deadly coal damp collects pits flows stream along passages,NT
might odorless colorless gas unknown qualities yet try respirators,NT
asked dick,NT
surely ventnor,NT
first go,NT
n't use,NT
gas gas seems operate well skin nose mouth,NT
n't make,NT
made try think,NT
asked eagerly,NT
felt go white,NT
little stammered,NT
nodded understandingly,NT
see,NT
well 'll wait bit,NT
staying,NT
n't make road mountain,NT
watching anyway,NT
asked drake,NT
go ruth ventnor grinned,NT
tell 'em,NT
party know,NT
mart,NT
cried blushing,NT
well n't admired laughed,NT
martin,NT
cried stamped foot,NT
shoot,NT
'm busy,NT
've got watch,NT
well ruth voice uncertain 'd hunting kashmir,NT
martin wanted come somewhere,NT
crossed passes,NT
month ago,NT
fourth day ran across looked road running south,NT
thought 'd take,NT
looked sort old lost going way wanted go,NT
took first country little hills base great range finally mountains ran blank,NT
bing,NT
interjected ventnor looking around moment,NT
bing,NT
slap dash prodigious fall rock,NT
n't get,NT
cast find another road went ruth,NT
strike strikes,NT
fish end 'em ventnor,NT
god,NT
'm glad see walter goodwin,NT
believe,NT
however go ruth,NT
end second week knew lost,NT
deep heart range,NT
around forest enormous snow-topped peaks,NT
gorges canyons valleys tried led east west north south,NT
maze seemed going ever deeper,NT
slightest sign human life,NT
human beings except ever,NT
game plentiful,NT
trouble getting food,NT
sooner later course bound find way,NT
n't worry,NT
five nights ago camped head lovely little valley,NT
mound stood tiny watch-tower looking,NT
trees grew round tall sentinels,NT
built fire mound eaten martin slept,NT
sat watching beauty skies shadowy vale,NT
heard one approach something made leap feet look behind,NT
man standing glow firelight watching,NT
tibetan,NT
asked,NT
shook head trouble eyes,NT
ventnor turned head,NT
ruth screamed awakened,NT
caught glimpse fellow vanished,NT
short purple mantle hung shoulders,NT
chest covered fine chain mail, 
legs swathed bound thongs high buskins,NT
carried small round hide-covered shield short two-edged sword,NT
head helmeted,NT
belonged fact oh least twenty centuries back,NT
laughed plain enjoyment amazement,NT
go ruth took watch,NT
martin see face went,NT
oh wish forget,NT
white mine walter cruel cruel eyes glowed looked slave dealer,NT
shamed wanted hide,NT
cried martin awakened,NT
moved man stepped light gone,NT
think seen martin believed alone,NT
put fire moved farther shadow trees,NT
sleep sat hour hour pistol hand patted automatic belt rifle close beside,NT
hours went dreadfully,NT
last dozed,NT
awakened dawn covered eyes two men looking,NT
one stood firelight,NT
talking interrupted ventnor archaic persian,NT
persian repeated blankly archaic persian,NT
much nodded,NT
've fair knowledge modern tongue rather unusual command arabic,NT
modern persian know comes straight speech xerxes cyrus darius alexander macedon conquered,NT
changed mainly taking load arabic words,NT
well n't trace arabic tongue speaking,NT
sounded odd course understand quite easily,NT
talking ruth,NT
explicit discussing exceeding frankness martin,NT
cried wrathfully,NT
well right went half repentantly,NT
matter fact seen pair steal,NT
rifle hand,NT
lay quietly listening,NT
realize walter caught sight two looking materialized darius ghostly hordes scientific curiosity aroused prodigiously,NT
interest passed matter speech alone thought ruth asleep also took consideration mode polite expression changes centuries gentlemen clearly belonged least twenty centuries back real truth consumed curiosity,NT
got point detailing pleasure certain mysterious person seemed regard much fear respect would contemplate,NT
wondering long desire observe anthropologist fascinating hold hand back rifle ruth awakened,NT
jumped little fury,NT
fired pistol point blank,NT
amazement well ludicrous,NT
know seems incredible seemed know nothing firearms certainly acted n't,NT
simply flew timber,NT
took pistol shot one missed,NT
ruth n't winged man left red trail behind,NT
n't follow trail,NT
made opposite direction fast possible,NT
nothing happened day night,NT
next morning creeping slope caught sight suspicious glitter mile two away direction going,NT
sought shelter small ravine,NT
little hill half mile away two hundred fellows marching along,NT
indeed darius men,NT
men persia dead millenniums,NT
mistaking high covering shields great bows javelins armor,NT
passed doubled,NT
built fires night ought turned pony loose n't,NT
carried instruments ammunition felt going need latter,NT
next morning caught sight another band,NT
turned,NT
stole tree-covered plain struck ancient road,NT
led south peaks,NT
followed,NT
brought,NT
n't observe comfortable places,NT
struck across hollow crevice knew nothing entrance,NT
hollow pleasant either,NT
penetrable,NT
crossed,NT
enter cleft issued unusual disconcerting chorus sounds wailings crashings splinterings,NT
started shot look dick absorbed drinking ventnor every word,NT
unusual well disconcerting best word think encouraged proceed,NT
also peculiar unpleasantness hollow increasing rapidly,NT
made best time back fortress,NT
next tried go hollow search another outlet n't,NT
know ended abruptly,NT
men ancient armor,NT
men darius,NT
dick broke silence followed amazing recital,NT
incredible,NT
yes agreed ventnor n't,NT
course n't maintain relics darius's armies,NT
might xerxes artaxerxes,NT
certainly drake living breathing replicas exceedingly ancient persians,NT
might wall carvings tomb khosroes come life,NT
mention darius fits plausible hypothesis,NT
alexander great smashed empire rather thoroughly,NT
n't much sympathy vanquished days,NT
entirely conceivable city two alexander way might gathered fleeting regiment protection decided wait hunt cover,NT
naturally would gone almost inaccessible heart high ranges,NT
nothing impossible theory found shelter last,NT
long history runs well-nigh unknown land,NT
penetrating mountain-guarded easily defended valley might decided settle time rebuilt city raised government laying low sentence waiting storm blow,NT
stay,NT
well might found new life pleasant old,NT
might locked valley accident landslides rockfalls sealing entrance,NT
dozen reasonable possibilities,NT
hunted n't locked objected drake,NT
ventnor grinned ruefully,NT
certainly n't,NT
maybe drifted preserves way n't know,NT
maybe 've found another way,NT
'm sure n't know,NT
know,NT
noises martin description description heard blue valley,NT
heard since,NT
yes answered hesitating oddly,NT
think soldiers still hunting,NT
n't doubt replied cheerfully,NT
n't look chaps would give hunt easily least hunt novel interesting therefore desirable delectable game must appeared,NT
martin decisively pony,NT
'll try hollow,NT
ruth 'd never able hold back numbers 've described,NT
feel strong enough try,NT
chapter iv metal brain eagerness relief voice betrayed tension anxiety hidden well hot shame burned shrinking dread passing haunted vale,NT
certainly,NT
master,NT
drake n't agree,NT
sure replied,NT
sure,NT
'll look ruth er mean miss ventnor,NT
glint amusement ventnor eyes faded abruptly face grew somber,NT
wait,NT
carried away exhibits crevice noises goodwin,NT
kind exhibits,NT
asked eagerly,NT
put 'em 'd safe continued,NT
've idea 're far curious armored men far importance,NT
rate must take,NT
go ruth drake look,NT
bring back pony,NT
'll make start,NT
minutes probably wo n't make much difference hurry,NT
turned back watch,NT
ordering chiu-ming stay followed ruth drake ruined stairway,NT
bottom laid little hands shoulders,NT
walter breathed 'm frightened,NT
'm frightened 'm afraid tell even mart,NT
n't either little things 're going see,NT
likes little afraid let know little,NT
fear,NT
asked drake,NT
see think,NT
led slowly almost reluctantly toward rear fortress,NT
lay little heap mouth cleft heard noises,NT
martin picked dropped sack ran hollow,NT
're grotesque 're almost cute make feel tiniest tippy-tip claw incredibly large cat stealing around corner terrible cat cat big mountain ended breathlessly,NT
climbed crumbling masonry central open court,NT
clear spring bubbled ruined choked stone basin close ancient well pony contentedly browsing thick grass grew around,NT
one hampers ruth took large cloth bag,NT
carry trembled,NT
passed great door another chamber larger left better preservation ceiling unbroken light dim blazing sun court,NT
near center halted,NT
ran two-feet-wide ragged crack splitting floor dropping black depths,NT
beyond expanse smooth flagging almost clear debris,NT
drake gave low whistle,NT
followed pointing finger,NT
wall end whirled two enormous dragon shapes cut low relief,NT
gigantic wings monstrous coils covered nearly unbroken surface chimerae shapes upthrust blocks haunted roadway,NT
ruth gaze read nameless fear half shuddering fascination,NT
looking cavern dragons,NT
gaze fixed first glance seemed raised patterned circle dust-covered floor,NT
foot width shone wanly pale metallic bluish luster thought recently polished,NT
compared wall's tremendous winged figures floor design trivial ludicrously insignificant,NT
stamp dread ruth face,NT
leaped crevice dick joined,NT
see ring continuous,NT
broken circle made sharply edged cubes inch height separated mathematical exactness another inch space,NT
counted nineteen,NT
almost touching bases equal number pyramids tetrahedrons sharply angled similar length,NT
lay sides tips pointing starlike six spheres clustered conventionalized five petaled primrose exact center,NT
five spheres petals roughly calculated inch half diameter ball enclosed larger almost inch,NT
orderly arrangement much geometrical design nicely done clever child hesitated disturb,NT
bent stiffened first touch dread,NT
ring close clustering globes miniature replica giant track poppied valley,NT
stood dust hint crushing force die cut sharpness metallic suggestion pointing toward globes claw marks four spreading star points,S
reached picked one pyramids,NT
seemed cling rock effort wrenched away,NT
gave touch slight sensation warmth describe warmth living,NT
weighed hand,NT
oddly heavy twice weight say platinum,NT
drew glass examined,NT
