,File,Keywords,Label,Sentence
85,Piper_TheAnswer,countdown,NT,The countdown was just beyond two hours five minutes.
86,Piper_TheAnswer,jeep truck doctor eugenio galvez institute awkward,NT,The jeep stopped at the edge of a crowd around three more trucks and Doctor Eugenio Galvez the director of the Institute left the crowd and approached at an awkward half run as they got down.
87,Piper_TheAnswer,checked,NT,Is everything checked gentlemen he wanted to know.
88,Piper_TheAnswer,1730 pitov,NT,It was this afternoon at 1730 Pitov told him.
89,Piper_TheAnswer,nobody telephone,NT,And nobody s been burning my telephone to report anything different.
90,Piper_TheAnswer,balloon drone,NT,Are the balloons and the drone planes ready The Air Force just finished checking they re ready.
91,Piper_TheAnswer,captain urquiola plane guidance tape duplicate plane copy,S,Captain Urquiola flew one of the planes over the course and made a guidance tape that s been duplicated and all the planes are equipped with copies.
92,Piper_TheAnswer,richardson,NT,How s the wind Richardson asked.
93,Piper_TheAnswer,fallout balloon,NT,We won t have any trouble about fallout or with the balloons.
94,Piper_TheAnswer,bunker,NT,Then we d better go back to the bunker and make sure everybody there is on the job.
95,Piper_TheAnswer,loudspeaker,NT,The loudspeaker was counting down to Two Hours One Minute.
96,Piper_TheAnswer,eugenio galvez,NT,Could you spare a few minutes to talk to the press Eugenio Galvez asked.
97,Piper_TheAnswer,telecast experiment,NT,And perhaps say a few words for telecast This last is most important we can t explain too many times the purpose of this experiment.
98,Piper_TheAnswer,hostility test nuclear weapon,S,There is still much hostility arising from fear that we are testing a nuclear weapon.
99,Piper_TheAnswer,telecast correspondent south america south africa australia ceylon,NT,The press and telecast services were well represented there were close to a hundred correspondents from all over South America from South Africa and Australia even one from Ceylon.
100,Piper_TheAnswer,truck mobile telecast pickup rocketry quiz pounce,NT,They had three trucks with mobile telecast pickups and when they saw who was approaching they released the two rocketry experts they had been quizzing and pounced on the new victims.
101,Piper_TheAnswer,negative proton weapon weapon stab pitov,S,Was there any possibility that negative proton matter might be used as a weapon Anything can be used as a weapon you could stab a man to death with that lead pencil you re using Pitov replied.
102,Piper_TheAnswer,negamatter used,NT,But I doubt if negamatter will ever be so used.
103,Piper_TheAnswer,weapon design,S,We re certainly not working on weapons design here.
104,Piper_TheAnswer,negative proton neutron positron theoretical assemble negamatter,S,We started six years ago with the ability to produce negative protons reverse spin neutrons and positrons and the theoretical possibility of assembling them into negamatter.
105,Piper_TheAnswer,fifty kilogramme mass nega iron assemble,S,We have just gotten a fifty kilogramme mass of nega iron assembled.
106,Piper_TheAnswer,technique design,S,In those six years we had to invent all our techniques and design all our equipment.
107,Piper_TheAnswer,insane nuclear weapon memory design memory,S,If we d been insane enough to want to build a nuclear weapon after what we went through up North we could have done so from memory and designed a better which is to say a worse one from memory in a few days.
108,Piper_TheAnswer,negamatter bomb dig fifty bash somebody shovel dig richardson,S,Yes and building a negamatter bomb for military purposes would be like digging a fifty foot shaft to get a rock to bash somebody s head in when you could do the job better with the shovel you re digging with Richardson added.
109,Piper_TheAnswer,energy ample construct thermonuclear bomb,S,The time money energy and work we put in on this thing would be ample to construct twenty thermonuclear bombs.
110,Piper_TheAnswer,magnetic bottle rocket warhead electric magnetic insulate negamatter posimatter,S,He went on to tell them about the magnetic bottle inside the rocket s warhead mentioning how much electric current was needed to keep up the magnetic field that insulated the negamatter from contact with posimatter.
111,Piper_TheAnswer,experiment doctor richardson basic structure,S,Then what was the purpose of this experiment Doctor Richardson Oh we were just trying to find out a few basic facts about natural structure.
112,Piper_TheAnswer,nucleonic particle proton neutron meson structure,S,Long ago it was realized that the nucleonic particles protons neutrons mesons and so on must have structure of their own.
113,Piper_TheAnswer,construct negative proton nucleonic structure,S,Since we started constructing negative proton matter we ve found out a few things about nucleonic structure.
114,Piper_TheAnswer,fraction planck,NT,Some rather odd things including fractions of Planck s constant.
115,Piper_TheAnswer,correspondent la prensa australian,NT,A couple of the correspondents a man from La Prensa and an Australian whistled softly.
116,Piper_TheAnswer,pitov negamatter atom,NT,Pitov took over You see gentlemen most of what we learned we learned from putting negamatter atoms together.
117,Piper_TheAnswer,annihilate vault assemble annihilate chunk nega iron magnetic bottle,NT,We annihilated a few of them over there in that little concrete building we have one of the most massive steel vaults in the world where we do that but we assembled millions of them for every one we annihilated and that chunk of nega iron inside the magnetic bottle kept growing.
118,Piper_TheAnswer,negamatter scrap,NT,And when you have a piece of negamatter you don t want you can t just throw it out on the scrap pile.
119,Piper_TheAnswer,rocket velocity artificial satellite rocket eject telemetered instrument,S,We might have rocketed it into escape velocity and let it blow up in space away from the Moon or any of the artificial satellites but why waste it So we re going to have the rocket eject it and when it falls we can see by our telemetered instruments just what happens.
120,Piper_TheAnswer,won annihilate somebody,NT,Well won t it be annihilated by contact with atmosphere somebody asked.
121,Piper_TheAnswer,pitov,NT,That s one of the things we want to find out Pitov said.
122,Piper_TheAnswer,percent mass target area kilo,S,We estimate about twenty percent loss from contact with atmosphere but the mass that actually lands on the target area should be about forty kilos.
123,Piper_TheAnswer,spectacle,NT,It should be something of a spectacle coming down.
124,Piper_TheAnswer,assemble negative proton neutron positron,S,You say you had to assemble it after creating the negative protons and neutrons and the positrons.
125,Piper_TheAnswer,galaxy,NT,Oh no not on this planet and probably not in the Galaxy.
126,Piper_TheAnswer,galaxy compose negamatter,NT,There may be whole galaxies composed of nothing but negamatter.
127,Piper_TheAnswer,isolate planetary galaxy compose negamatter improbable,NT,There may even be isolated stars and planetary systems inside our Galaxy composed of negamatter though I think that very improbable.
128,Piper_TheAnswer,negamatter posimatter mutual annihilation,NT,But when negamatter and posimatter come into contact with one another the result is immediate mutual annihilation.
129,Piper_TheAnswer,bunker,NT,They managed to get away from the press and returned as far as the bunkers a mile and a half away.
130,Piper_TheAnswer,richardson conspicuous,NT,Before they went inside Richardson glanced up at the sky fixing the location of a few of the more conspicuous stars in his mind.
131,Piper_TheAnswer,instrument screen radar indicator detection instrument,S,There were almost a hundred men and women inside each at his or her instruments view screens radar indicators detection instruments of a dozen kinds.
132,Piper_TheAnswer,reporter telecast eugenio galvez tow,NT,The reporters and telecast people arrived shortly afterward and Eugenio Galvez took them in tow.
133,Piper_TheAnswer,richardson pitov countdown minus minus overhead instrument operator,NT,While Richardson and Pitov were making their last minute rounds the countdown progressed past minus one hour and at minus twenty minutes all the overhead lights went off and the small instrument operators lights came on.
134,Piper_TheAnswer,pitov screen pickup bunker launching,S,Pitov turned on a couple of view screens one from a pickup on the roof of the bunker and another from the launching pad.
135,Piper_TheAnswer,richardson pipe,NT,Richardson got his pipe out and began loading it.
136,Piper_TheAnswer,loudspeaker _minus fifty fifty fifty seven_ test autumn 1969,S,The loudspeaker was saying _Minus two minutes one fifty nine fifty eight fifty seven_ He let his mind drift away from the test back to the world that had been smashed around his ears in the autumn of 1969.
137,Piper_TheAnswer,_two second_,NT,He was doing that so often now when he should be thinking about _Two seconds one second_.
138,Piper_TheAnswer,firing screen,S,FIRING It was a second later that his eyes focussed on the left hand view screen.
139,Piper_TheAnswer,gush rocket tremble,NT,Red and yellow flames were gushing out at the bottom of the rocket and it was beginning to tremble.
140,Piper_TheAnswer,generator,S,Then the upper jets the ones that furnished power for the generators began firing.
141,Piper_TheAnswer,meter generator,S,He looked anxiously at the meters the generators were building up power.
142,Piper_TheAnswer,rocket blast separator cable,S,Finally when he was sure that the rocket would be blasting off anyhow the separator charges fired and the heavy cables fell away.
143,Piper_TheAnswer,missile jerkily pickup,NT,An instant later the big missile started inching upward gaining speed by the second first slowly and jerkily and then more rapidly until it passed out of the field of the pickup.
144,Piper_TheAnswer,spout screen,S,He watched the rising spout of fire from the other screen until it passed from sight.
145,Piper_TheAnswer,pitov screen target,S,By that time Pitov had twisted a dial and gotten another view on the left hand screen this time from close to the target.
146,Piper_TheAnswer,camera radar missile,S,That camera was radar controlled it had fastened onto the approaching missile which was still invisible.
147,Piper_TheAnswer,screen richardson zenith,S,The stars swung slowly across the screen until Richardson recognized the ones he had spotted at the zenith.
148,Piper_TheAnswer,rocket overhead warhead magnetic mass negamatter eject,S,In a moment now the rocket a hundred miles overhead would be nosing down and then the warhead would open and the magnetic field inside would alter and the mass of negamatter would be ejected.
149,Piper_TheAnswer,blot,NT,The stars were blotted out by a sudden glow of light.
150,Piper_TheAnswer,atmospheric density energy,S,Even at a hundred miles there was enough atmospheric density to produce considerable energy release.
151,Piper_TheAnswer,pitov partly german partly russian richardson,NT,Pitov beside him was muttering partly in German and partly in Russian most of what Richardson caught was figures.
152,Piper_TheAnswer,mass unnatural iron blast,S,Trying to calculate how much of the mass of unnatural iron would get down for the ground blast.
153,Piper_TheAnswer,screen wriggle orgy scrap radio erratically,S,Then the right hand screen broke into a wriggling orgy of color and at the same time every scrap of radio transmitted apparatus either went out or began reporting erratically.
154,Piper_TheAnswer,screen pickup function,S,The left hand screen connected by wiring to the pickup on the roof was still functioning.
155,Piper_TheAnswer,richardson drove brighten,NT,For a moment Richardson wondered what was going on and then shocked recognition drove that from his mind as he stared at the ever brightening glare in the sky.
156,Piper_TheAnswer,auburn bomb memory ontario janet vacation lawn,S,It was the Auburn Bomb again He was back in memory to the night on the shore of Lake Ontario the party breaking up in the early hours of morning he and Janet and the people with whom they had been spending a vacation week standing on the lawn as the guests were getting into their cars.
157,Piper_TheAnswer,janet blaze,NT,He and Janet clutching each other and staring up in terror at the falling blaze from which there seemed no escape.
158,Piper_TheAnswer,south,NT,Then relief as it curved away from them and fell to the south.
159,Piper_TheAnswer,explosion,NT,And then the explosion lighting the whole southern sky.
160,Piper_TheAnswer,explosion screen mass nega iron pure visibility stunned screen updrawn incandescent,S,There was a similar explosion in the screen when the mass of nega iron landed a sheet of pure white light so bright and so quick as to almost pass above the limit of visibility and then a moment s darkness that was in his stunned eyes more than in the screen and then the rising glow of updrawn incandescent dust.
161,Piper_TheAnswer,legging,NT,Before the sound waves had reached them he had been legging it into the house.
162,Piper_TheAnswer,television insanely screen,S,The television had been on and it had been acting as insanely as the screen on his right now.
163,Piper_TheAnswer,telephone,NT,He had called the State Police the telephones had been working all right and told them who he was and they had told him to stay put and they d send a car for him.
164,Piper_TheAnswer,janet hostess lawn janet dog flop silly goodbye,NT,Janet and his host and hostess had waited with him on the lawn until it came and after he had gotten into it he had turned around and looked back through the rear window and seen Janet standing under the front light holding the little dog in her arms flopping one of its silly little paws up and down with her hand to wave goodbye to him.
165,Piper_TheAnswer,dog,NT,He had seen her and the dog like that every day of his life for the last fifteen years.
166,Piper_TheAnswer,radiation alexis pitov phone,S,What kind of radiation are you getting he could hear Alexis Pitov asking into a phone.
167,Piper_TheAnswer,mostly cosmic,NT,But mostly cosmic.
168,Piper_TheAnswer,phone,S,He turned from the phone.
169,Piper_TheAnswer,dose cosmic gamma,NT,A devil s own dose of cosmic and some gamma.
170,Piper_TheAnswer,cosmic radiation radio telescreens,NT,It was the cosmic radiation that put the radios and telescreens out.
171,Piper_TheAnswer,drone plane radio,S,That s why I insisted that the drone planes be independent of radio control.
172,Piper_TheAnswer,cosmic radiation micro annihilation test vault,NT,They always got cosmic radiation from the micro annihilations in the test vault.
173,Piper_TheAnswer,cosmic ray,NT,Well now they had an idea of what produced natural cosmic rays.
174,Piper_TheAnswer,negamatter posimatter mutual annihilation energy,S,There must be quite a bit of negamatter and posimatter going into mutual annihilation and total energy release through the Universe.
175,Piper_TheAnswer,detector auburn,NT,Of course there were no detectors set up in advance around Auburn he said.
176,Piper_TheAnswer,cosmic radiation gamma,NT,By that time the cosmic radiation was over and we weren t getting anything but gamma.
177,Piper_TheAnswer,auburn russian,NT,What What has Auburn to do The Russian stopped short.
178,Piper_TheAnswer,lee wasn atom artificial negamatter 1969,S,Lee you re crazy There wasn t an atom of artificial negamatter in the world in 1969.
179,Piper_TheAnswer,nobody,NT,Nobody had made any before us.
180,Piper_TheAnswer,nobody,NT,We gave each other some scientific surprises then but nobody surprised both of us.
181,Piper_TheAnswer,nuclear physic,NT,You and I between us knew everything that was going on in nuclear physics in the world.
182,Piper_TheAnswer,radio target area wasn blast function,S,Some of the radio equipment around the target area that wasn t knocked out by blast is beginning to function again.
183,Piper_TheAnswer,increasingly gamma radiation cosmic ray,NT,There is an increasingly heavy gamma radiation but no more cosmic rays.
184,Piper_TheAnswer,prompt radiation annihilation gamma secondary,NT,They were all prompt radiation from the annihilation the gamma is secondary effect.
185,Piper_TheAnswer,captain urquiola drone plane,NT,Wait a moment Captain Urquiola of the Air Force says that the first drone plane is about to take off.
186,Piper_TheAnswer,blast drone auburn york,NT,It had been two hours after the blast that the first drones had gone over what had been Auburn New York.
187,Piper_TheAnswer,gamma radiation gamma,NT,Gamma radiation a great deal of gamma.
188,Piper_TheAnswer,investigation missile target auburn quest radiation,NT,It had been almost down to a safe level by the time the investigation had been called off and two months after there had been no more missiles and no way of producing more and no targets to send them against if they d had them rather he had been back at Auburn on his hopeless quest and there had been almost no trace of radiation.
189,Piper_TheAnswer,shallow crater flatten rubble,NT,Nothing but a wide shallow crater almost two hundred feet in diameter and only fifteen at its deepest already full of water and a circle of flattened and scattered rubble for a mile and a half all around it.
190,Piper_TheAnswer,chunk nega iron fifty pampas,NT,He was willing to bet anything that that was what they d find where the chunk of nega iron had landed fifty miles away on the pampas.
191,Piper_TheAnswer,drone target area balloon radio,S,Well the first drone ought to be over the target area before long and at least one of the balloons that had been sent up was reporting its course by radio.
192,Piper_TheAnswer,radio recording,S,The radios in the others were silent and the recording counters had probably jammed in all of them.
193,Piper_TheAnswer,drone,NT,There d be something of interest when the first drone came back.
194,Piper_TheAnswer,alexis pitov,NT,He dragged his mind back to the present and went to work with Alexis Pitov.
195,Piper_TheAnswer,evaluate mass program,S,They were at it all night checking evaluating making sure that the masses of data that were coming in were being promptly processed for programming the computers.
196,Piper_TheAnswer,increasingly frequent pitov,NT,At each of the increasingly frequent coffee breaks he noticed Pitov looking curiously.
197,Piper_TheAnswer,bunker jeep bungalow truck argentine locally hire laborer prefab hut target area,S,He said nothing however until long after dawn they stood outside the bunker waiting for the jeep that would take them back to their bungalow and watching the line of trucks Argentine army engineers locally hired laborers load after load of prefab huts and equipment going down toward the target area where they would be working for the next week.
198,Piper_TheAnswer,lee pitov,NT,Lee were you serious Pitov asked.
199,Piper_TheAnswer,auburn auburn blaze,NT,I mean about this being like the one at Auburn It was exactly like Auburn even that blazing light that came rushing down out of the sky.
200,Piper_TheAnswer,missile,NT,I wondered about that at the time what kind of a missile would produce an effect like that.
201,Piper_TheAnswer,launch,NT,We just launched one like it.
202,Piper_TheAnswer,nuclear physic,NT,But that s impossible I told you between us we know everything that was happening in nuclear physics then.
203,Piper_TheAnswer,nobody assemble atom negamatter mass,S,Nobody in the world knew how to assemble atoms of negamatter and build them into masses.
204,Piper_TheAnswer,nobody mass negamatter,S,Nobody and nothing on this planet built that mass of negamatter.
205,Piper_TheAnswer,galaxy,NT,I doubt if it even came from this Galaxy.
206,Piper_TheAnswer,negamatter meteor soviet missile,NT,When that negamatter meteor fell the only thing anybody could think of was that it had been a Soviet missile.
207,Piper_TheAnswer,leningrad moscow kharkov,NT,If it had hit around Leningrad or Moscow or Kharkov who would you have blamed it on THE END.
208,Piper_TheAnswer,typographical corrected typographical text correct,NT,TYPOGRAPHICAL ERRORS CORRECTED The following typographical errors in the text were corrected as detailed here.
209,Piper_TheAnswer,text icbm thermonuclear warhead termonuclear correct thermonuclear,NT,In the text Could they have built an ICBM with a thermonuclear warhead ... the word termonuclear was corrected to thermonuclear.
210,Piper_TheAnswer,text leningrad moscow lenigrad correct leningrad,NT,In the text If it had hit around Leningrad or Moscow ... the word Lenigrad was corrected to Leningrad.
211,Piper_TheAnswer,text south america south africa australia austrailia correct australia,NT,In the text ... from all over South America from South Africa and Australia ... the word Austrailia was corrected to Australia.
212,Piper_TheAnswer,text japan moslem moselem correct moslem,NT,In the text Or Japan or the Moslem States.... the word Moselem was corrected to Moslem.
213,Piper_TheAnswer,text institute insitutue correct institute,NT,In the text ... the director of the Institute left ... the word Insitutue was corrected to Institute.
214,Piper_TheAnswer,misspelt correct klyzneko correct klyzenko pitou correct pitov,NT,Misspelt proper names were also corrected Klyzneko was corrected to Klyzenko and Pitou was corrected to Pitov.
215,Piper_TheAnswer,ebook henry piper ebook 18342 18342 format http www org 1 18342 geetu melwani http www,NT,End of the Project Gutenberg EBook of The Answer by Henry Beam Piper END OF THIS PROJECT GUTENBERG EBOOK THE ANSWER This file should be named 18342.txt or 18342.zip This and all associated files of various formats will be found in http www.gutenberg.org 1 8 3 4 18342 Produced by Greg Weeks Geetu Melwani and the Online Distributed Proofreading Team at http www.pgdp.net Updated editions will replace the previous one the old editions will be renamed.
216,Piper_TheAnswer,copyright foundation copy distribute copyright,NT,Creating the works from public domain print editions means that no one owns a United States copyright in these works so the Foundation and you can copy and distribute it in the United States without permission and without paying copyright royalties.
217,Piper_TheAnswer,license tm electronic tm trademark,NT,Special rules set forth in the General Terms of Use part of this license apply to copying and distributing Project Gutenberg tm electronic works to protect the PROJECT GUTENBERG tm concept and trademark.
218,Piper_TheAnswer,trademark ebooks,NT,Project Gutenberg is a registered trademark and may not be used if you charge for the eBooks unless you receive specific permission.
219,Piper_TheAnswer,copy ebook comply,NT,If you do not charge anything for copies of this eBook complying with the rules is very easy.
220,Piper_TheAnswer,ebook,NT,You may use this eBook for nearly any purpose such as creation of derivative works reports performances and research.
221,Piper_TheAnswer,ebooks,NT,They may be modified and printed and given away you may do practically ANYTHING with public domain eBooks.
222,Piper_TheAnswer,trademark license,NT,Redistribution is subject to the trademark license especially commercial redistribution.
