SENTENCE,DETAILS
The day before I had reached Port Moresby and had seen my specimens safely stored on board the Southern Queen.,day<<NN>> had<<VBD>> reached<<VBN>> Port<<NNP>> Moresby<<NNP>> had<<VBD>> seen<<VBN>> specimens<<NNS>> safely<<RB>> stored<<VBN>> board<<NN>> Southern<<NNP>> Queen<<NNP>>
"As I sat on the upper deck I thought, with homesick mind, of the long leagues between me and Melbourne, and the longer ones between Melbourne and New York.",sat<<VBP>> upper<<JJ>> deck<<NN>> thought<<VBD>> homesick<<JJ>> mind<<NN>> long<<JJ>> leagues<<NNS>> Melbourne<<NNP>> longer<<JJR>> ones<<NNS>> Melbourne<<NNP>> New<<NNP>> York<<NNP>>
"It was one of Papua's yellow mornings when she shows herself in her sombrest, most baleful mood.",was<<VBD>> one<<CD>> Papua<<NNP>> 's<<POS>> yellow<<JJ>> mornings<<NNS>> when<<WRB>> shows<<VBZ>> sombrest<<NN>> most<<RBS>> baleful<<JJ>> mood<<NN>>
The sky was smouldering ochre.,sky<<NN>> was<<VBD>> smouldering<<VBG>> ochre<<NN>>
"Over the island brooded a spirit sullen, alien, implacable, filled with the threat of latent, malefic forces waiting to be unleashed.",island<<NN>> brooded<<VBD>> spirit<<NN>> sullen<<NN>> alien<<NN>> implacable<<JJ>> filled<<VBN>> threat<<NN>> latent<<NN>> malefic<<JJ>> forces<<NNS>> waiting<<VBG>> be<<VB>> unleashed<<VBN>>
"It seemed an emanation out of the untamed, sinister heart of Papua herself--sinister even when she smiles.",seemed<<VBD>> emanation<<NN>> untamed<<JJ>> sinister<<JJ>> heart<<NN>> Papua<<NNP>> sinister<<RB>> even<<RB>> when<<WRB>> smiles<<VBZ>>
"And now and then, on the wind, came a breath from virgin jungles, laden with unfamiliar odours, mysterious and menacing.",now<<RB>> then<<RB>> wind<<NN>> came<<VBD>> breath<<NN>> virgin<<NN>> jungles<<NNS>> laden<<JJ>> unfamiliar<<JJ>> odours<<NNS>> mysterious<<JJ>> menacing<<NN>>
It is on such mornings that Papua whispers to you of her immemorial ancientness and of her power.,is<<VBZ>> such<<JJ>> mornings<<NNS>> Papua<<NNP>> whispers<<NNS>> immemorial<<JJ>> ancientness<<NN>> power<<NN>>
"And, as every white man must, I fought against her spell.",white<<JJ>> man<<NN>> must<<MD>> fought<<MD>> spell<<NN>>
While I struggled I saw a tall figure striding down the pier; a Kapa-Kapa boy followed swinging a new valise.,struggled<<VBD>> saw<<VBD>> tall<<JJ>> figure<<NN>> striding<<VBG>> pier<<NN>> Kapa-Kapa<<NNP>> boy<<NN>> followed<<VBD>> swinging<<VBG>> new<<JJ>> valise<<NN>>
There was something familiar about the tall man.,was<<VBD>> something<<NN>> familiar<<JJ>> tall<<JJ>> man<<NN>>
"As he reached the gangplank he looked up straight into my eyes, stared for a moment, then waved his hand.",reached<<VBD>> gangplank<<NN>> looked<<VBD>> straight<<RB>> eyes<<NNS>> stared<<VBD>> moment<<NN>> then<<RB>> waved<<VBD>> hand<<NN>>
And now I knew him.,now<<RB>> knew<<VBD>>
"It was Dr. David Throckmartin--""Throck"" he was to me always, one of my oldest friends and, as well, a mind of the first water whose power and achievements were for me a constant inspiration as they were, I know, for scores other.",was<<VBD>> Dr.<<NNP>> David<<NNP>> Throckmartin<<NNP>> Throck<<NN>> was<<VBD>> always<<RB>> one<<CD>> oldest<<JJS>> friends<<NNS>> as<<RB>> well<<RB>> mind<<NN>> first<<JJ>> water<<NN>> whose<<WP$>> power<<NN>> achievements<<NNS>> were<<VBD>> constant<<JJ>> inspiration<<NN>> were<<VBD>> know<<VBP>> scores<<NNS>> other<<JJ>>
"Coincidentally with my recognition came a shock of surprise, definitely--unpleasant.",Coincidentally<<RB>> recognition<<NN>> came<<VBD>> shock<<NN>> surprise<<NN>> definitely<<RB>> unpleasant<<JJ>>
It was Throckmartin--but about him was something disturbingly unlike the man I had known long so well and to whom and to whose little party I had bidden farewell less than a month before I myself had sailed for these seas.,was<<VBD>> Throckmartin<<NNP>> was<<VBD>> something<<NN>> disturbingly<<RB>> man<<NN>> had<<VBD>> known<<VBN>> long<<RB>> so<<RB>> well<<RB>> whose<<WP$>> little<<JJ>> party<<NN>> had<<VBD>> bidden<<VBN>> farewell<<RB>> less<<JJR>> month<<NN>> had<<VBD>> sailed<<VBN>> seas<<NNS>>
"He had married only a few weeks before, Edith, the daughter of Professor William Frazier, younger by at least a decade than he but at one with him in his ideals and as much in love, if it were possible, as Throckmartin.",had<<VBD>> married<<VBN>> only<<RB>> few<<JJ>> weeks<<NNS>> Edith<<NNP>> daughter<<NN>> Professor<<NNP>> William<<NNP>> Frazier<<NNP>> younger<<JJR>> least<<JJS>> decade<<NN>> one<<CD>> ideals<<NNS>> as<<RB>> much<<JJ>> love<<NN>> were<<VBD>> possible<<JJ>> Throckmartin<<NNP>>
"By virtue of her father's training a wonderful assistant, by virtue of her own sweet, sound heart a--I use the word in its olden sense--lover.",virtue<<NN>> father<<NN>> 's<<POS>> training<<VBG>> wonderful<<JJ>> assistant<<NN>> virtue<<NN>> own<<JJ>> sweet<<NN>> sound<<JJ>> heart<<NN>> use<<VBP>> word<<NN>> olden<<JJ>> sense<<NN>> lover<<NN>>
"With his equally youthful associate Dr. Charles Stanton and a Swedish woman, Thora Halversen, who had been Edith Throckmartin's nurse from babyhood, they had set forth for the Nan-Matal, that extraordinary group of island ruins clustered along the eastern shore of Ponape in the Carolines.",equally<<RB>> youthful<<JJ>> associate<<JJ>> Dr.<<NNP>> Charles<<NNP>> Stanton<<NNP>> Swedish<<JJ>> woman<<NN>> Thora<<NNP>> Halversen<<NNP>> had<<VBD>> been<<VBN>> Edith<<NNP>> Throckmartin<<NNP>> 's<<POS>> nurse<<NN>> babyhood<<NN>> had<<VBD>> set<<VBN>> forth<<NN>> Nan-Matal<<JJ>> extraordinary<<JJ>> group<<NN>> island<<NN>> ruins<<NNS>> clustered<<VBN>> eastern<<JJ>> shore<<NN>> Ponape<<NNP>> Carolines<<NNP>>
"I knew that he had planned to spend at least a year among these ruins, not only of Ponape but of Lele--twin centres of a colossal riddle of humanity, a weird flower of civilization that blossomed ages before the seeds of Egypt were sown; of whose arts we know little enough and of whose science nothing.",knew<<VBD>> had<<VBD>> planned<<VBN>> spend<<VB>> least<<JJS>> year<<NN>> ruins<<NNS>> not<<RB>> only<<RB>> Ponape<<NNP>> Lele<<NNP>> twin<<JJ>> centres<<NNS>> colossal<<NN>> riddle<<NN>> humanity<<NN>> weird<<JJ>> flower<<NN>> civilization<<NN>> blossomed<<VBD>> ages<<NNS>> seeds<<NNS>> Egypt<<NNP>> were<<VBD>> sown<<VBN>> whose<<WP$>> arts<<NNS>> know<<VBP>> little<<JJ>> enough<<JJ>> whose<<WP$>> science<<NN>> nothing<<NN>>
"He had carried with him unusually complete equipment for the work he had expected to do and which, he hoped, would be his monument.",had<<VBD>> carried<<VBN>> unusually<<RB>> complete<<JJ>> equipment<<NN>> work<<NN>> had<<VBD>> expected<<VBN>> do<<VB>> hoped<<VBD>> would<<MD>> be<<VB>> monument<<NN>>
"What then had brought Throckmartin to Port Moresby, and what was that change I had sensed in him?",then<<RB>> had<<VBD>> brought<<VBN>> Throckmartin<<NNP>> Port<<NNP>> Moresby<<NNP>> was<<VBD>> change<<NN>> had<<VBD>> sensed<<VBN>>
Hurrying down to the lower deck I found him with the purser.,Hurrying<<VBG>> lower<<JJR>> deck<<NN>> found<<VBD>> purser<<NN>>
"As I spoke he turned, thrust out to me an eager hand--and then I saw what was that difference that had so moved me.",spoke<<VBD>> turned<<VBD>> thrust<<VBD>> eager<<JJ>> hand<<NN>> then<<RB>> saw<<VBD>> was<<VBD>> difference<<NN>> had<<VBD>> so<<RB>> moved<<VBN>>
"He knew, of course by my silence and involuntary shrinking the shock my closer look had given me.",knew<<VBD>> course<<NN>> silence<<NN>> involuntary<<JJ>> shrinking<<VBG>> shock<<NN>> closer<<NN>> look<<NN>> had<<VBD>> given<<VBN>>
"His eyes filled; he turned brusquely from the purser, hesitated --then hurried off to his stateroom.",eyes<<NNS>> filled<<VBD>> turned<<VBD>> brusquely<<RB>> purser<<NN>> hesitated<<VBN>> then<<RB>> hurried<<VBD>> stateroom<<NN>>
"""'E looks rather queer--eh?""",'E<<POS>> looks<<VBZ>> rather<<RB>> queer<<NN>> eh<<VB>>
said the purser.,said<<VBD>> purser<<NN>>
"""Know 'im well, sir?",Know<<NNP>> 'im<<NNP>> well<<RB>> sir<<NNS>>
"Seems to 'ave given you quite a start.""",Seems<<NNS>> 'ave<<VB>> given<<VBN>> quite<<VBP>> start<<NN>>
I made some reply and went slowly up to my chair.,made<<VBD>> reply<<NN>> went<<VBD>> slowly<<RB>> chair<<NN>>
"There I sat, composed my mind and tried to define what it was that had shaken me so.",sat<<VBD>> composed<<VBN>> mind<<NN>> tried<<VBD>> define<<VB>> was<<VBD>> had<<VBD>> shaken<<VBN>> so<<RB>>
Now it came to me.,Now<<RB>> came<<VBD>>
"The old Throckmartin was on the eve of his venture just turned forty, lithe, erect, muscular; his controlling expression one of enthusiasm, of intellectual keenness, of--what shall I say--expectant search.",old<<JJ>> Throckmartin<<NNP>> was<<VBD>> eve<<NN>> venture<<NN>> just<<RB>> turned<<VBN>> forty<<NN>> lithe<<NN>> erect<<NN>> muscular<<NN>> controlling<<VBG>> expression<<NN>> one<<CD>> enthusiasm<<NN>> intellectual<<JJ>> keenness<<NN>> shall<<MD>> say<<VBP>> expectant<<JJ>> search<<NN>>
His always questioning brain had stamped its vigor upon his face.,always<<RB>> questioning<<VBG>> brain<<NN>> had<<VBD>> stamped<<VBN>> vigor<<NN>> face<<NN>>
"But the Throckmartin I had seen below was one who had borne some scaring shock of mingled rapture and horror; some soul cataclysm that in its climax had remoulded, deep from within, his face, setting on it seal of wedded ecstasy and despair; as though indeed these two had come to him hand in hand, taken possession of him and departing left behind, ineradicably, their linked shadows!",Throckmartin<<NNP>> had<<VBD>> seen<<VBN>> was<<VBD>> one<<CD>> had<<VBD>> scaring<<VBG>> shock<<NN>> mingled<<JJ>> rapture<<NN>> horror<<NN>> soul<<NN>> cataclysm<<NN>> climax<<NN>> had<<VBD>> remoulded<<VBN>> deep<<JJ>> face<<NN>> setting<<VBG>> seal<<NN>> wedded<<JJ>> ecstasy<<NN>> despair<<NN>> indeed<<RB>> two<<CD>> had<<VBD>> come<<VBN>> hand<<NN>> hand<<NN>> taken<<VBN>> possession<<NN>> departing<<VBG>> left<<VBN>> ineradicably<<RB>> linked<<VBN>> shadows<<NNS>>
Yes--it was that which appalled.,was<<VBD>> appalled<<VBD>>
"For how could rapture and horror, Heaven and Hell mix, clasp hands--kiss?",how<<WRB>> could<<MD>> rapture<<VB>> horror<<VB>> Heaven<<NNP>> Hell<<NNP>> mix<<NNP>> clasp<<NN>> hands<<NNS>> kiss<<VB>>
Yet these were what in closest embrace lay on Throckmartin's face!,Yet<<RB>> were<<VBD>> closest<<JJ>> embrace<<NN>> lay<<NN>> Throckmartin<<NNP>> 's<<POS>> face<<NN>>
"Deep in thought, subconsciously with relief, I watched the shore line sink behind; welcomed the touch of the wind of the free seas.",Deep<<NNP>> thought<<NN>> subconsciously<<RB>> relief<<NN>> watched<<VBD>> shore<<NN>> line<<NN>> sink<<NN>> welcomed<<VBD>> touch<<NN>> wind<<NN>> free<<JJ>> seas<<NNS>>
"I had hoped, and within the hope was an inexplicable shrinking that I would meet Throckmartin at lunch.",had<<VBD>> hoped<<VBN>> hope<<NN>> was<<VBD>> inexplicable<<JJ>> shrinking<<NN>> would<<MD>> meet<<VB>> Throckmartin<<NNP>> lunch<<NN>>
"He did not come down, and I was sensible of deliverance within my disappointment.",did<<VBD>> not<<RB>> come<<VB>> was<<VBD>> sensible<<JJ>> deliverance<<NN>> disappointment<<NN>>
All that afternoon I lounged about uneasily but still he kept to his cabin--and within me was no strength to summon him.,All<<PDT>> afternoon<<NN>> lounged<<VBD>> uneasily<<RB>> still<<RB>> kept<<VBD>> cabin<<NN>> was<<VBD>> strength<<NN>> summon<<VB>>
Nor did he appear at dinner.,did<<VBD>> appear<<VB>> dinner<<NN>>
Dusk and night fell swiftly.,Dusk<<NNP>> night<<NN>> fell<<VBD>> swiftly<<RB>>
I was warm and went back to my deck-chair.,was<<VBD>> warm<<JJ>> went<<VBD>> back<<RB>> deck-chair<<NN>>
The Southern Queen was rolling to a disquieting swell and I had the place to myself.,Southern<<NNP>> Queen<<NNP>> was<<VBD>> rolling<<VBG>> disquieting<<NN>> swell<<NN>> had<<VBD>> place<<NN>>
"Over the heavens was a canopy of cloud, glowing faintly and testifying to the moon riding behind it.",heavens<<NNS>> was<<VBD>> canopy<<NN>> cloud<<NN>> glowing<<VBG>> faintly<<RB>> testifying<<VBG>> moon<<NN>> riding<<VBG>>
There was much phosphorescence.,was<<VBD>> much<<JJ>> phosphorescence<<NN>>
"Fitfully before the ship and at her sides arose those stranger little swirls of mist that swirl up from the Southern Ocean like breath of sea monsters, whirl for an instant and disappear.",Fitfully<<RB>> ship<<NN>> sides<<NNS>> arose<<VBP>> stranger<<JJ>> little<<JJ>> swirls<<NN>> mist<<NN>> swirl<<VBZ>> Southern<<JJ>> Ocean<<NNP>> breath<<NN>> sea<<NN>> monsters<<NNS>> whirl<<NN>> instant<<JJ>> disappear<<JJ>>
Suddenly the deck door opened and through it came Throckmartin.,Suddenly<<RB>> deck<<NN>> door<<NN>> opened<<VBD>> came<<VBD>> Throckmartin<<NNP>>
"He paused uncertainly, looked up at the sky with a curiously eager, intent gaze, hesitated, then closed the door behind him.",paused<<VBD>> uncertainly<<RB>> looked<<VBD>> sky<<NN>> curiously<<RB>> eager<<JJ>> intent<<JJ>> gaze<<NN>> hesitated<<VBN>> then<<RB>> closed<<VBD>> door<<NN>>
"""Throck,"" I called.",Throck<<NN>> called<<VBD>>
"""Come!",Come<<VB>>
"It's Goodwin.""",'s<<VBZ>> Goodwin<<NNP>>
He made his way to me.,made<<VBD>> way<<NN>>
"""Throck,"" I said, wasting no time in preliminaries.",Throck<<NN>> said<<VBD>> wasting<<VBG>> time<<NN>> preliminaries<<NNS>>
"""What's wrong?",'s<<VBZ>> wrong<<JJ>>
"Can I help you?""",Can<<MD>> help<<VB>>
I felt his body grow tense.,felt<<VBD>> body<<NN>> grow<<JJ>> tense<<NN>>
"""I'm going to Melbourne, Goodwin,"" he answered.",'m<<VBP>> going<<VBG>> Melbourne<<NNP>> Goodwin<<NNP>> answered<<VBD>>
"""I need a few things--need them urgently.",need<<VBP>> few<<JJ>> things<<NNS>> need<<VBP>> urgently<<RB>>
"And more men--white men--"" He stopped abruptly; rose from his chair, gazed intently toward the north.",more<<RBR>> men<<NNS>> white<<JJ>> men<<NNS>> stopped<<VBD>> abruptly<<RB>> rose<<VBD>> chair<<NN>> gazed<<VBN>> intently<<RB>> north<<NN>>
I followed his gaze.,followed<<VBD>> gaze<<NN>>
"Far, far away the moon had broken through the clouds.",Far<<NNP>> far<<RB>> away<<RB>> moon<<NN>> had<<VBD>> broken<<VBN>> clouds<<NNS>>
"Almost on the horizon, you could see the faint luminescence of it upon the smooth sea.",Almost<<RB>> horizon<<NN>> could<<MD>> see<<VB>> faint<<NN>> luminescence<<NN>> smooth<<JJ>> sea<<NN>>
The distant patch of light quivered and shook.,distant<<JJ>> patch<<NN>> light<<NN>> quivered<<VBN>> shook<<NN>>
The clouds thickened again and it was gone.,clouds<<NN>> thickened<<VBD>> again<<RB>> was<<VBD>> gone<<VBN>>
"The ship raced on southward, swiftly.",ship<<NN>> raced<<VBD>> southward<<NN>> swiftly<<RB>>
Throckmartin dropped into his chair.,Throckmartin<<NNP>> dropped<<VBD>> chair<<NN>>
He lighted a cigarette with a hand that trembled; then turned to me with abrupt resolution.,lighted<<VBD>> cigarette<<NN>> hand<<NN>> trembled<<VBD>> then<<RB>> turned<<VBD>> abrupt<<JJ>> resolution<<NN>>
"""Goodwin,"" he said.",Goodwin<<NNP>> said<<VBD>>
"""I do need help.",do<<VBP>> help<<NN>>
"If ever man needed it, I do.",ever<<RB>> man<<NN>> needed<<VBD>> do<<VBP>>
"Goodwin--can you imagine yourself in another world, alien, unfamiliar, a world of terror, whose unknown joy is its greatest terror of all; you all alone there, a stranger!",Goodwin<<NNP>> can<<MD>> imagine<<VB>> world<<NN>> alien<<NN>> unfamiliar<<JJ>> world<<NN>> terror<<NN>> whose<<WP$>> unknown<<JJ>> joy<<NN>> is<<VBZ>> greatest<<JJS>> terror<<NN>> alone<<RB>> stranger<<NN>>
"As such a man would need help, so I need--"" He paused abruptly and arose; the cigarette dropped from his fingers.",such<<PDT>> man<<NN>> would<<MD>> need<<VB>> help<<NN>> need<<VBP>> paused<<VBD>> abruptly<<RB>> arose<<RB>> cigarette<<NN>> dropped<<VBD>> fingers<<NNS>>
"The moon had again broken through the clouds, and this time much nearer.",moon<<NN>> had<<VBD>> again<<RB>> broken<<VBN>> clouds<<NN>> time<<NN>> much<<JJ>> nearer<<NN>>
Not a mile away was the patch of light that it threw upon the waves.,Not<<RB>> mile<<NN>> away<<RB>> was<<VBD>> patch<<NN>> light<<NN>> threw<<VBD>> waves<<NNS>>
"Back of it, to the rim of the sea was a lane of moonlight; a gigantic gleaming serpent racing over the edge of the world straight and surely toward the ship.",Back<<RB>> rim<<NN>> sea<<NN>> was<<VBD>> lane<<NN>> moonlight<<NN>> gigantic<<JJ>> gleaming<<NN>> serpent<<NN>> racing<<NN>> edge<<NN>> world<<NN>> straight<<NN>> surely<<RB>> ship<<NN>>
Throckmartin stiffened to it as a pointer does to a hidden covey.,Throckmartin<<NN>> stiffened<<VBD>> pointer<<NN>> does<<VBZ>> hidden<<JJ>> covey<<NN>>
"To me from him pulsed a thrill of horror--but horror tinged with an unfamiliar, an infernal joy.",pulsed<<VBD>> thrill<<NN>> horror<<NN>> horror<<NNS>> tinged<<VBD>> unfamiliar<<NN>> infernal<<JJ>> joy<<NN>>
It came to me and passed away--leaving me trembling with its shock of bitter sweet.,came<<VBD>> passed<<VBD>> away<<RB>> leaving<<VBG>> trembling<<VBG>> shock<<NN>> bitter<<JJ>> sweet<<NN>>
"He bent forward, all his soul in his eyes.",bent<<VBD>> forward<<RB>> soul<<NN>> eyes<<NNS>>
"The moon path swept closer, closer still.",moon<<NN>> path<<NN>> swept<<VBD>> closer<<JJR>> closer<<JJR>> still<<RB>>
It was now less than half a mile away.,was<<VBD>> now<<RB>> less<<JJR>> half<<PDT>> mile<<JJ>> away<<RB>>
From it the ship fled--almost as though pursued.,ship<<NN>> fled<<VBD>> almost<<RB>> pursued<<NN>>
"Down upon it, swift and straight, a radiant torrent cleaving the waves, raced the moon stream.",swift<<NN>> straight<<NN>> radiant<<JJ>> torrent<<NN>> cleaving<<VBG>> waves<<NNS>> raced<<VBD>> moon<<NN>> stream<<NN>>
"""Good God!""",Good<<JJ>> God<<NN>>
"breathed Throckmartin, and if ever the words were a prayer and an invocation they were.",breathed<<VBN>> Throckmartin<<NNP>> ever<<RB>> words<<NNS>> were<<VBD>> prayer<<NN>> invocation<<NN>> were<<VBD>>
"And then, for the first time--I saw--_it_!",then<<RB>> first<<JJ>> time<<NN>> saw<<VBD>> _it_<<NN>>
The moon path stretched to the horizon and was bordered by darkness.,moon<<NN>> path<<NN>> stretched<<VBD>> horizon<<NN>> was<<VBD>> bordered<<VBN>> darkness<<NN>>
It was as though the clouds above had been parted to form a lane-drawn aside like curtains or as the waters of the Red Sea were held back to let the hosts of Israel through.,was<<VBD>> clouds<<NNS>> had<<VBD>> been<<VBN>> parted<<VBN>> form<<VB>> lane-drawn<<JJ>> aside<<NN>> curtains<<NNS>> waters<<NNS>> Red<<NNP>> Sea<<NNP>> were<<VBD>> held<<VBN>> back<<RB>> let<<VB>> hosts<<NNS>> Israel<<NNP>>
"On each side of the stream was the black shadow cast by the folds of the high canopies And straight as a road between the opaque walls gleamed, shimmered, and danced the shining, racing, rapids of the moonlight.",side<<NN>> stream<<NN>> was<<VBD>> black<<JJ>> shadow<<NN>> cast<<NN>> folds<<NNS>> high<<JJ>> canopies<<NNS>> straight<<VBD>> road<<NN>> opaque<<NN>> walls<<NNS>> gleamed<<VBD>> shimmered<<VBD>> danced<<VBD>> shining<<NN>> racing<<NN>> rapids<<NNS>> moonlight<<NN>>
"Far, it seemed immeasurably far, along this stream of silver fire I sensed, rather than saw, something coming.",Far<<RB>> seemed<<VBD>> immeasurably<<RB>> far<<RB>> stream<<NN>> silver<<NN>> fire<<NN>> sensed<<VBD>> rather<<RB>> saw<<NNS>> something<<NN>> coming<<VBG>>
It drew first into sight as a deeper glow within the light.,drew<<VBD>> first<<RB>> sight<<VBN>> deeper<<JJR>> glow<<NN>> light<<NN>>
On and on it swept toward us--an opalescent mistiness that sped with the suggestion of some winged creature in arrowed flight.,swept<<VBD>> opalescent<<JJ>> mistiness<<NN>> sped<<VBD>> suggestion<<NN>> winged<<JJ>> creature<<NN>> arrowed<<JJ>> flight<<NN>>
